Metode,Gambar,Jumlah_Fitur,Rata2_Response,Maks_Response
Harris,cameraman,1321,-0.008114099754018804,5.208771345403836
FAST,cameraman,189,0.5061204947677315,
SIFT,cameraman,882,,
Harris,coins,477,-0.010627179736687298,2.6879262239199533
FAST,coins,177,0.37982555302098836,
SIFT,coins,755,,
Harris,checkerboard,188,-0.1949106306561758,8.094432699488166
FAST,checkerboard,0,0.5,
SIFT,checkerboard,150,,
Harris,astronaut,1272,-0.009647229466645703,7.33765086412013
FAST,astronaut,183,0.44940785925372745,
SIFT,astronaut,1229,,
Harris,personal,854,0.011971076862566125,2.974127096354441
FAST,personal,469,0.5178318779956428,
SIFT,personal,2737,,
